github.com/AlDanial/cloc v 1.76  T=2.65 s (404.9 files/s, 70902.3 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Java                            742          17502          44030         113451
XML                             247            414            893           4432
Markdown                         30            407              0           1891
C++                               5            172            195           1195
Groovy                           33            147            493            930
JSON                              1              0              0            593
make                              8             36            131            155
C/C++ Header                      2             35             43            125
Bourne Again Shell                1             20             21            123
Bourne Shell                      2             27             48            102
DOS Batch                         1             24              2             64
--------------------------------------------------------------------------------
SUM:                           1072          18784          45856         123061
--------------------------------------------------------------------------------
