github.com/AlDanial/cloc v 1.76  T=1.06 s (242.1 files/s, 29480.2 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           137           2967           4178          17064
XML                            107            422            128           5462
Markdown                         2            106              0            450
Groovy                           7             46             41            249
ProGuard                         2             11             43              8
DOS Batch                        1              0              0              1
-------------------------------------------------------------------------------
SUM:                           256           3552           4390          23234
-------------------------------------------------------------------------------
