github.com/AlDanial/cloc v 1.76  T=17.45 s (116.9 files/s, 59616.9 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Java                            927          37877          43333         325744
C                               520          34141          97557         255535
C++                              67           3935           2783          55476
C/C++ Header                    350          13004          43741          45070
Perl                             48           5718           4982          44661
XML                              64            407            394          15815
Assembly                          5            522           1567           2484
CMake                            40            330            435           2116
make                              2             62             45            535
Markdown                          5            154              0            492
Go                                2             59             53            315
Objective C                       1             29              9            225
Bourne Shell                      3             63             41            184
Groovy                            3             25              1            172
Bourne Again Shell                1             20             21            123
ProGuard                          1              0              1             10
--------------------------------------------------------------------------------
SUM:                           2039          96346         194963         748957
--------------------------------------------------------------------------------
