github.com/AlDanial/cloc v 1.76  T=2.25 s (334.5 files/s, 44528.0 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           631          12350          12960          70355
XML                             70             98            115           1631
Groovy                          26            230            110           1044
Bourne Shell                    18            120             78            648
Markdown                         4             71              0            267
DOS Batch                        1             23              2             59
YAML                             2              9              7             51
ProGuard                         1              3              8             11
-------------------------------------------------------------------------------
SUM:                           753          12904          13280          74066
-------------------------------------------------------------------------------
