github.com/AlDanial/cloc v 1.76  T=7.19 s (342.1 files/s, 56321.7 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                          2361          49138          92410         250399
Maven                           37            342            821           4961
C                               10            438            409           2940
XML                             10             51             98            937
JSON                            13              2              0            538
Bourne Shell                     3             47             61            283
DOS Batch                        1             31              0            114
Markdown                         8             49              0            111
C/C++ Header                     9             43            166             84
Protocol Buffers                 1              8             22             43
Groovy                           1              4              0             38
HTML                             1              6              0             36
make                             1             10             23             17
YAML                             1              1              0             11
CSS                              1              0              0              4
-------------------------------------------------------------------------------
SUM:                          2458          50170          94010         260516
-------------------------------------------------------------------------------
