github.com/AlDanial/cloc v 1.76  T=1.09 s (309.9 files/s, 76631.8 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           293          10521          12487          56228
Maven                           18            112             18           1629
Markdown                        11            423              0           1441
CSS                              3             22             26            209
HTML                             1             24              1            192
JSON                             1              0              0            153
XML                              2             24             47             85
Bourne Shell                     4             25             14             62
JavaScript                       5              0             21             37
YAML                             1              9              0             23
-------------------------------------------------------------------------------
SUM:                           339          11160          12614          60059
-------------------------------------------------------------------------------
