github.com/AlDanial/cloc v 1.76  T=2.05 s (215.1 files/s, 17954.1 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           132           2835           3430          16921
XML                            288           2145           3611           6592
Kotlin                          11             88            197            485
Bourne Shell                     1             21             22            129
Groovy                           4             15             31            118
Markdown                         4             35              0             81
DOS Batch                        1             23              2             59
ProGuard                         1             10             23             13
-------------------------------------------------------------------------------
SUM:                           442           5172           7316          24398
-------------------------------------------------------------------------------
