github.com/AlDanial/cloc v 1.76  T=1.04 s (268.7 files/s, 29760.9 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           220           3410           4455          19419
Maven                           21            145             23           1450
Markdown                        23            300              0            973
HTML                             1             24              1            258
CSS                              3             22             26            209
XML                              2             21             41             75
JavaScript                       5              0             22             37
Bourne Shell                     3             15             14             37
YAML                             1              7              0             18
Protocol Buffers                 1              4              0             10
-------------------------------------------------------------------------------
SUM:                           280           3948           4582          22486
-------------------------------------------------------------------------------
