github.com/AlDanial/cloc v 1.76  T=0.90 s (329.3 files/s, 37585.2 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Java                           253           3976           4253          18214
JSON                             1              3              0           5083
Markdown                         5            152              0            502
Groovy                          10             71             40            329
XML                             19             66              8            309
JavaScript                       1             70              4            242
Python                           2             37             27            183
Bourne Shell                     2             28             26            145
DOS Batch                        1             23              2             59
ProGuard                         2              1              1             22
YAML                             1              4              2             15
-------------------------------------------------------------------------------
SUM:                           297           4431           4363          25103
-------------------------------------------------------------------------------
