github.com/AlDanial/cloc v 1.76  T=0.12 s (209.3 files/s, 14748.7 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
XML                               7             65             24            778
Kotlin                           10             75              0            264
Markdown                          1             34              0            177
Bourne Again Shell                1             19             20            121
DOS Batch                         1             24              2             64
Groovy                            3              8              3             43
YAML                              1              0              0             20
ProGuard                          1              3             18              0
--------------------------------------------------------------------------------
SUM:                             25            228             67           1467
--------------------------------------------------------------------------------
