github.com/AlDanial/cloc v 1.76  T=0.26 s (263.6 files/s, 33976.4 lines/s)
--------------------------------------------------------------------------------
Language                      files          blank        comment           code
--------------------------------------------------------------------------------
Kotlin                           24           1034            606           4338
Java                             16            246             72            873
JSON                              1              0              0            381
HTML                              1            150              0            236
Markdown                          2             74              0            229
XML                              17             18              6            198
Bourne Again Shell                1             20             21            123
Groovy                            4             20              4            119
DOS Batch                         1             24              2             64
ProGuard                          2              4             30              0
--------------------------------------------------------------------------------
SUM:                             69           1590            741           6561
--------------------------------------------------------------------------------
