github.com/AlDanial/cloc v 1.76  T=0.51 s (275.8 files/s, 23818.8 lines/s)
-------------------------------------------------------------------------------
Language                     files          blank        comment           code
-------------------------------------------------------------------------------
Kotlin                         114           1451           3520           5894
Markdown                         4             67              0            219
XML                             14             25            135            192
Groovy                           2             39             27            186
Bourne Shell                     5             37             30            169
YAML                             1             13              0             90
DOS Batch                        1             23              2             59
-------------------------------------------------------------------------------
SUM:                           141           1655           3714           6809
-------------------------------------------------------------------------------
